name,prices,sale_tags,url
Babolat Pure Aero Rafa Racket,"[259.9, 0, 229.91]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Racket/descpageRCQBA-BPARR-EN.html
Babolat Pure Aero Racket,"[199.9, 249.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Racket/descpageRCQBA-BPAR-EN.html
Babolat Pure Aero VS Racket x2,"[339.9, 529.9, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_VS_Racket_x2/descpageRCQBA-PAVDOU-EN.html
Babolat Pure Aero VS Racket (SINGLE),"[174.91, 269.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_VS_Racket_SINGLE/descpageRCQBA-PAVSIN-EN.html
Babolat Pure Aero Plus Racket,"[199.9, 249.95, 0]","['0', 1, '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Plus_Racket/descpageRCQBA-BPAPR-EN.html
Babolat Pure Aero Team Racket,"[159.9, 219.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Team_Racket/descpageRCQBA-BPART-EN.html
Babolat Pure Aero Super Lite Racket,"[134.9, 189.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Super_Lite_Racket/descpageRCQBA-BPASLR-EN.html
Babolat Pure Aero Tour Racket,"[199.9, 259.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Tour_Racket/descpageRCQBA-BPATRR-EN.html
Babolat Pure Aero Lite Racket,"[163.9, 204.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Lite_Racket/descpageRCQBA-BPARL-EN.html
Babolat Pure Drive Racket,"[197.9, 219.95, 182.9]","['0', 1, '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Racket_/descpageRCQBA-BRPDR-EN.html
Babolat Pure Drive Plus Racket,"[199.9, 219.95, 182.95]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_Racket_/descpageRCQBA-BRPDP-EN.html
Babolat Pure Drive Tour Racket,"[204.89, 229.95, 184.95]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Tour_Racket_/descpageRCQBA-BRPDT-EN.html
Babolat Pure Drive Team Racket,"[179.9, 199.95, 162.95]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_Racket_/descpageRCQBA-BRPTE-EN.html
Babolat Pure Drive Lite Racket,"[169.9, 189.95, 154.95]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Lite_Racket_/descpageRCQBA-BRPDL-EN.html
Babolat Pure Drive Super Lite Racket,"[179.9, 0, 161.89]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Super_Lite_Racket_/descpageRCQBA-BRPDSL-EN.html
Babolat Pure Drive 107 Racket,"[199.9, 199.95, 179.9]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_107_Racket_/descpageRCQBA-BRPD17-EN.html
Babolat Pure Drive 110 Racket,"[199.9, 199.95, 179.9]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_110_Racket_/descpageRCQBA-BRPD11-EN.html
Babolat Pure Drive VS Racket x2,"[369.9, 499.9, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_VS_Racket_x2/descpageRCQBA-PDVS-EN.html
Babolat Pure Drive VS Racket (SINGLE),"[179.9, 260.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_VS_Racket_SINGLE/descpageRCQBA-PDVSING-EN.html
Babolat Pure Strike 16x19 Racket,"[184.95, 229.95, 166.41]","['0', 1, '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_16x19_Racket/descpageRCQBA-PS1619-EN.html
Babolat Pure Strike 18x20 Racket,"[184.95, 229.95, 166.41]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_18x20_Racket/descpageRCQBA-PS1820-EN.html
Babolat Pure Strike Tour Racket,"[189.89, 239.95, 179.01]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Tour_Racket/descpageRCQBA-BPSTTO-EN.html
Babolat Pure Strike 100 Racket,"[174.91, 219.95, 157.41]","['0', 1, '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_100_Racket/descpageRCQBA-BPSTRI-EN.html
Babolat Pure Strike Team Racket,"[167.9, 209.95, 156.9]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Team_Racket/descpageRCQBA-BPSTRT-EN.html
Babolat Pure Strike Lite Racket,"[159.9, 199.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Lite_Racket/descpageRCQBA-BPSTLI-EN.html
Babolat Pure Strike EVO Racket,"[119.99, 149.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_EVO_Racket/descpageRCQBA-PSEVO-EN.html
Babolat Evo Drive Racket,"[134.9, 149.95, 121.4]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Racket_/descpageRCQBA-BRED-EN.html
Babolat Evo Drive Racket White/Blue,"[134.9, 149.95, 121.4]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Racket_White_Blue/descpageRCQBA-BREDW-EN.html
Babolat Evo Drive Lite Racket,"[109.9, 139.95, 113.89]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Lite_Racket_/descpageRCQBA-BREDL-EN.html
Babolat Evo Drive Lite Racket White/Blue,"[134.9, 139.95, 121.4]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Lite_Racket_White_Blue/descpageRCQBA-BRELW-EN.html
Babolat Evo Drive Tour Racket,"[143.89, 159.95, 129.51]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Tour_Racket_/descpageRCQBA-BREDT-EN.html
Babolat Evo Drive 115 Racket,"[143.89, 159.95, 129.51]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_115_Racket_/descpageRCQBA-BRE15-EN.html
Babolat Drive G Lite W Racket,"[70.0, 129.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Drive_G_Lite_W_Racket/descpageRCQBA-BDGLWR-EN.html
Babolat Boost Drive Racket,"[79.91, 89.95, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Boost_Drive_Racket/descpageRCQBA-BABODR-EN.html
Babolat Boost Drive W Racket,"[79.91, 89.95, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Boost_Drive_W_Racket/descpageRCQBA-BABODW-EN.html
Babolat Boost S Racket,"[79.91, 89.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Boost_S_Racket/descpageRCQBA-BABOSR-EN.html
Babolat Aero G Racket,"[99.99, 139.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Aero_G_Racket/descpageRCQBA-BAGR-EN.html
Babolat Pure Aero Rafa Junior 26 Racket,"[119.95, 0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Junior_26_Racket/descpageRCQBA-BPARA26-EN.html
Babolat Pure Drive 26 Junior Racket,"[79.91, 99.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket/descpageRCQBA-BRPJ-EN.html
Babolat Pure Drive 26 Junior Racket Blue/Pink,"[79.91, 99.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior_Racket_Blue_Pink/descpageRCQBA-BRPJPW-EN.html
Babolat Strike 26 Junior Racket,"[57.91, 64.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Strike_26_Junior_Racket_/descpageRCQBA-BRS26J-EN.html
Babolat Pure Aero Junior 26 Racket,"[91.9, 114.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_26_Racket/descpageRCQBA-BPARJ26-EN.html
Babolat Pure Strike Junior 26 Racket,"[74.9, 94.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_26_Racket/descpageQBA-BRPS26-EN.html
Babolat Aero Junior 26 Racket,"[59.9, 69.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Aero_Junior_26_Racket/descpageRCQBA-BAJR26-EN.html
Babolat Nadal Junior 26 Racket,"[31.46, 37.5, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_26_Racket/descpageRCQBA-BNJ26R-EN.html
Babolat Pure Drive 25 Junior Racket,"[69.9, 95.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket_/descpageRCQBA-BRPJU-EN.html
Babolat Pure Strike Junior 25 Racket,"[79.91, 89.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_25_Racket/descpageRCQBA-BRPS25-EN.html
